,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
1616,2014-06-07,Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,42.4744,-83.1711,4,"10811 W. Ten Mile Rd., Oak Park, Michigan",June,6
1615,2014-06-07,South Carolina,Moncks Corner,Tish Lane,1,5,33.1711,-80.1311,6,"Tish Lane, Moncks Corner, South Carolina",June,6
1614,2014-06-08,Nevada,Las Vegas,201 North Nellis Boulevard and Stewart Avenue,5,0,36.1666,-115.062,5,"201 North Nellis Boulevard and Stewart Avenue, Las Vegas, Nevada",June,6
1613,2014-06-08,District of Columbia,Washington,M Street NE,0,4,38.9056,-76.9752,4,"M Street NE, Washington, District of Columbia",June,6
1612,2014-06-08,Florida,Fort Myers,17372 Phlox Drive,5,0,26.4815,-81.8213,5,"17372 Phlox Drive, Fort Myers, Florida",June,6
1611,2014-06-08,Alabama,Opp,611 Hardin Street,1,4,31.2722,-86.2531,5,"611 Hardin Street, Opp, Alabama",June,6
1610,2014-06-09,Illinois,Chicago,3500 West 79th Place,3,1,41.7488,-87.7097,4,"3500 West 79th Place, Chicago, Illinois",June,6
1609,2014-06-09,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,40.9207,-74.1591,6,"Rosa Parks Boulevard and Godwin Avenue, Paterson, New Jersey",June,6
1608,2014-06-12,Tennessee,Jackson,101 East End St.,0,4,35.6105,-88.7909,4,"101 East End St., Jackson, Tennessee",June,6
1607,2014-06-13,North Carolina,Rocky Mount,700 Branch Street,1,3,35.9336,-77.7924,4,"700 Branch Street, Rocky Mount, North Carolina",June,6
1606,2014-06-13,California,Los Angeles,8600 block of South Figueroa Street,3,1,33.96,-118.283,4,"8600 block of South Figueroa Street, Los Angeles, California",June,6
1605,2014-06-13,Tennessee,Memphis,1310 South Bellevue,0,4,35.1115,-90.0216,4,"1310 South Bellevue, Memphis, Tennessee",June,6
1604,2014-06-14,Illinois,Chicago,3300 West Beach Street,0,4,41.9074,-87.7102,4,"3300 West Beach Street, Chicago, Illinois",June,6
1603,2014-06-14,Illinois,Dwight,200 W. North St,3,1,41.0975,-88.4347,4,"200 W. North St, Dwight, Illinois",June,6
1602,2014-06-14,Wisconsin,Milwaukee,28th and Center,0,4,43.0679,-87.9486,4,"28th and Center, Milwaukee, Wisconsin",June,6
1601,2014-06-15,Virginia,Chesterfield,5700 Fox Maple Terrace,4,0,37.236,-77.4669,4,"5700 Fox Maple Terrace, Chesterfield, Virginia",June,6
1600,2014-06-15,Indiana,Kokomo,5100 Clinton Drive,0,4,40.4373,-86.1256,4,"5100 Clinton Drive, Kokomo, Indiana",June,6
1599,2014-06-15,Illinois,Park Forest,200 Berry Street,0,4,41.5014,-87.6792,4,"200 Berry Street, Park Forest, Illinois",June,6
1598,2014-06-16,Georgia,Valdosta,308 Emory Street,0,4,30.8659,-83.2857,4,"308 Emory Street, Valdosta, Georgia",June,6
1597,2014-06-17,Illinois,Chicago,3700 South Langley Avenue ,0,4,41.827,-87.6099,4,"3700 South Langley Avenue , Chicago, Illinois",June,6
1596,2014-06-20,Maryland,Seat Pleasant,6600 block of Greig Street,0,4,38.9006,-76.9049,4,"6600 block of Greig Street, Seat Pleasant, Maryland",June,6
1595,2014-06-21,District of Columbia,Washington,Florida Avenue and U Street NW,0,4,38.9079,-77.0023,4,"Florida Avenue and U Street NW, Washington, District of Columbia",June,6
1594,2014-06-21,Tennessee,Memphis,2119 East Alcy Road,0,5,35.0782,-89.9923,5,"2119 East Alcy Road, Memphis, Tennessee",June,6
1593,2014-06-22,California,Windsor,Windsor Avenue,1,3,38.5482,-122.819,4,"Windsor Avenue, Windsor, California",June,6
1592,2014-06-24,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,25.8343,-80.2167,9,"Northwest 12th Avenue and 65th Street, Miami, Florida",June,6
1591,2014-06-24,Texas,Houston,West Little York and Fairbanks N,0,4,29.8656,-95.5244,4,"West Little York and Fairbanks N, Houston, Texas",June,6
1590,2014-06-25,Massachusetts,Lowell,Midland Street,0,5,42.6235,-71.3269,5,"Midland Street, Lowell, Massachusetts",June,6
1589,2014-06-26,Wisconsin,Milwaukee,24th and Locust,0,5,43.0715,-87.9424,5,"24th and Locust, Milwaukee, Wisconsin",June,6
1588,2014-06-26,Michigan,Detroit,Grand St,2,2,42.3936,-83.1258,4,"Grand St, Detroit, Michigan",June,6
1587,2014-06-26,Tennessee,Knoxville,2800 Valley View Drive,2,2,36.0138,-83.9152,4,"2800 Valley View Drive, Knoxville, Tennessee",June,6
1586,2014-06-27,Oregon,Eagle Creek,Southeast Van Curen Road,0,4,45.353,-122.332,4,"Southeast Van Curen Road, Eagle Creek, Oregon",June,6
1585,2014-06-27,California,San Diego,1600 block of Cathy Street,1,3,32.5866,-117.094,4,"1600 block of Cathy Street, San Diego, California",June,6
1584,2014-06-28,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,40.8153,-73.9358,4,"Fifth Avenue and West 139th Street, Manhattan, New York",June,6
1583,2014-06-28,California,Antioch,5500 Cedar Point Way,0,7,37.9565,-121.757,7,"5500 Cedar Point Way, Antioch, California",June,6
1582,2014-06-29,California,Los Angeles,1100 block of North Vermont Avenue,1,5,34.0912,-118.291,6,"1100 block of North Vermont Avenue, Los Angeles, California",June,6
1581,2014-06-29,Louisiana,New Orleans,700 block of Bourbon St,1,9,29.9586,-90.0655,10,"700 block of Bourbon St, New Orleans, Louisiana",June,6
1580,2014-06-29,Missouri,Saint Louis,2800 block of Dayton,0,4,38.6419,-90.216,4,"2800 block of Dayton, Saint Louis, Missouri",June,6
1579,2014-06-30,Texas,Houston,1000 Fullerton Dr.,2,2,29.8148,-95.5734,4,"1000 Fullerton Dr., Houston, Texas",June,6
1578,2014-06-30,Kentucky,Lexington,Scottsdale Circle,1,3,38.0763,-84.4772,4,"Scottsdale Circle, Lexington, Kentucky",June,6
1577,2014-07-02,Pennsylvania,Chester,1400 block of West Congress Street,0,5,39.8531,-75.3584,5,"1400 block of West Congress Street, Chester, Pennsylvania",July,7
1576,2014-07-04,Virginia,Norfolk,1722 Thurgood Street,0,5,36.8259,-76.2624,5,"1722 Thurgood Street, Norfolk, Virginia",July,7
1575,2014-07-05,Illinois,Centreville,4700 Piggott Avenue,0,5,38.5801,-90.1232,5,"4700 Piggott Avenue, Centreville, Illinois",July,7
1574,2014-07-05,Virginia,Norfolk,861 W. 36th Street,0,7,36.8784,-76.2968,7,"861 W. 36th Street, Norfolk, Virginia",July,7
1573,2014-07-05,Oregon,Portland,333 SE 122ND Ave,1,4,45.5202,-122.538,5,"333 SE 122ND Ave, Portland, Oregon",July,7
1572,2014-07-05,Texas,San Antonio,N Loop 1604 W Access Rd,0,4,29.5923,-98.5866,4,"N Loop 1604 W Access Rd, San Antonio, Texas",July,7
1571,2014-07-05,Texas,Houston,1700 Almeda-Genoa,0,6,29.6121,-95.3957,6,"1700 Almeda-Genoa, Houston, Texas",July,7
1570,2014-07-05,Indiana,Indianapolis,Broad Ripple Avenue,0,7,39.8686,-86.1313,7,"Broad Ripple Avenue, Indianapolis, Indiana",July,7
1569,2014-07-06,Louisiana,Bogalusa,Grove Avenue and Ott Street,2,2,30.7668,-89.8604,4,"Grove Avenue and Ott Street, Bogalusa, Louisiana",July,7
1568,2014-07-06,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,38.6717,-90.2419,4,"4600 block of Natural Bridge Avenue, Saint Louis, Missouri",July,7
1567,2014-07-06,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,25.8316,-80.23,4,"NW 20th Ave and NW 62nd St, Miami, Florida",July,7
1566,2014-07-06,New York,Buffalo,100 block of Erb Street,0,4,42.9209,-78.8002,4,"100 block of Erb Street, Buffalo, New York",July,7
1565,2014-07-06,Texas,Houston,Little York near Airline,0,4,29.8636,-95.4397,4,"Little York near Airline, Houston, Texas",July,7
1564,2014-07-07,California,San Bernardino,312 E Baseline Street ,1,4,34.1214,-117.278,5,"312 E Baseline Street , San Bernardino, California",July,7
1563,2014-07-07,Kentucky,Stopover,KY 194E,0,4,37.5141,-82.0858,4,"KY 194E, Stopover, Kentucky",July,7
1562,2014-07-07,Illinois,Chicago Heights,Concord Drive and Division Street,0,5,41.4975,-87.6646,5,"Concord Drive and Division Street, Chicago Heights, Illinois",July,7
1561,2014-07-08,Rhode Island,Providence,35 March Street,0,5,41.8413,-71.4255,5,"35 March Street, Providence, Rhode Island",July,7
1560,2014-07-09,Texas,Spring,711 Leaflet Ln,6,1,30.0405,-95.4424,7,"711 Leaflet Ln, Spring, Texas",July,7
1559,2014-07-11,Illinois,Chicago,5200 West Quincy Street,1,3,41.8777,-87.755,4,"5200 West Quincy Street, Chicago, Illinois",July,7
1558,2014-07-12,California,Pasadena,1700 block of Summit Avenue,3,2,34.1751,-118.147,5,"1700 block of Summit Avenue, Pasadena, California",July,7
1557,2014-07-12,Ohio,Toledo,Streicher and Warsaw,0,4,41.6804,-83.5436,4,"Streicher and Warsaw, Toledo, Ohio",July,7
1556,2014-07-13,District of Columbia,Washington,1700 block of Lincoln Road NE,0,4,38.9283,-76.957,4,"1700 block of Lincoln Road NE, Washington, District of Columbia",July,7
1555,2014-07-13,Washington,Skyway,12600 Renton Avenue South ,0,5,47.4904,-122.239,5,"12600 Renton Avenue South , Skyway, Washington",July,7
1554,2014-07-13,Connecticut,Stamford,84 West Park Place,0,5,41.0535,-73.5423,5,"84 West Park Place, Stamford, Connecticut",July,7
1553,2014-07-14,California,Sacramento,Fulton Avenue ,1,4,38.6041,-121.402,5,"Fulton Avenue , Sacramento, California",July,7
1552,2014-07-16,California,Stockton,7800 block of Thornton Avenue,3,3,38.0205,-121.325,6,"7800 block of Thornton Avenue, Stockton, California",July,7
1551,2014-07-19,Illinois,Chicago,1300 North Mason Avenue,0,4,41.9044,-87.7743,4,"1300 North Mason Avenue, Chicago, Illinois",July,7
1550,2014-07-20,Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3,38.6234,-90.0958,4,"5103 block of Bunkum Rd, East Saint Louis, Illinois",July,7
1549,2014-07-20,Nevada,Las Vegas,Rancho Drive 3400 block ,1,3,36.2207,-115.215,4,"Rancho Drive 3400 block , Las Vegas, Nevada",July,7
1548,2014-07-21,Tennessee,Memphis,300 block of Foote Park Lane,0,4,35.1329,-90.0452,4,"300 block of Foote Park Lane, Memphis, Tennessee",July,7
1547,2014-07-21,New Jersey,Irvington,36 Welland Avenue,0,6,40.7172,-74.2289,6,"36 Welland Avenue, Irvington, New Jersey",July,7
1546,2014-07-23,Pennsylvania,Braddock,700 block of Hickory St,0,4,40.4059,-79.8612,4,"700 block of Hickory St, Braddock, Pennsylvania",July,7
1545,2014-07-25,Illinois,Chicago,700 South California Avenue,1,6,41.8727,-87.6963,7,"700 South California Avenue, Chicago, Illinois",July,7
1544,2014-07-26,Maine,Saco,35 Water Street,5,0,43.4981,-70.449,5,"35 Water Street, Saco, Maine",July,7
1543,2014-07-26,Georgia,Sylvester,Royal Street,0,8,31.531,-83.8221,8,"Royal Street, Sylvester, Georgia",July,7
1542,2014-07-26,Tennessee,Knoxville,1915 Cumberland Avenue,1,4,35.9552,-83.9363,5,"1915 Cumberland Avenue, Knoxville, Tennessee",July,7
1541,2014-07-27,Missouri,Saint Louis,2000 block of East John Avenue,0,5,38.6717,-90.2098,5,"2000 block of East John Avenue, Saint Louis, Missouri",July,7
1540,2014-07-27,Michigan,Kalamazoo,700 S Howard St,0,4,42.2851,-85.6234,4,"700 S Howard St, Kalamazoo, Michigan",July,7
1539,2014-07-28,New York,Manhattan,177 West 4th Street,1,3,40.7321,-74.0013,4,"177 West 4th Street, Manhattan, New York",July,7
1538,2014-07-28,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,40.0247,-75.1239,5,"4900 block of North Front Street, Philadelphia, Pennsylvania",July,7
1537,2014-07-30,North Carolina,Hope Mills,926 Bramblegate Road,3,2,34.969,-78.9219,5,"926 Bramblegate Road, Hope Mills, North Carolina",July,7
1536,2014-08-01,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,39.9345,-75.19,4,"1500 block of South Etting Street, Philadelphia, Pennsylvania",August,8
1535,2014-08-02,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,40.4578,-79.9742,6,"Penn Avenue and 29th Street, Pittsburgh, Pennsylvania",August,8
1534,2014-08-02,Texas,Dallas,5125 Wynell Street,3,1,32.6865,-96.7828,4,"5125 Wynell Street, Dallas, Texas",August,8
1533,2014-08-02,Wisconsin,Beloit,1218 Henry Ave,1,3,42.5226,-89.0227,4,"1218 Henry Ave, Beloit, Wisconsin",August,8
1532,2014-08-02,New Jersey,Salem,32 Walnut St.,0,4,39.569,-75.4666,4,"32 Walnut St., Salem, New Jersey",August,8
1531,2014-08-02,Massachusetts,New Bedford,Acushnet Avenue,0,7,41.6872,-70.9263,7,"Acushnet Avenue, New Bedford, Massachusetts",August,8
1530,2014-08-03,Virginia,Culpeper,4400 block of Rixeyville Road,5,0,38.5631,-77.9829,5,"4400 block of Rixeyville Road, Culpeper, Virginia",August,8
1529,2014-08-03,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,35.6117,-87.0298,5,"East 9th Street and Bridge Street, Columbia, Tennessee",August,8
1528,2014-08-03,Missouri,Saint Louis,5200 block of Thekla ,0,5,38.6904,-90.2434,5,"5200 block of Thekla , Saint Louis, Missouri",August,8
1527,2014-08-03,Minnesota,Saint Paul,West Minnehaha Avenue and North Arundel Street,1,3,44.963,-93.1187,4,"West Minnehaha Avenue and North Arundel Street, Saint Paul, Minnesota",August,8
1526,2014-08-03,Texas,Humble,3403 FM 1960,0,7,30.0195,-95.3757,7,"3403 FM 1960, Humble, Texas",August,8
1525,2014-08-04,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,33.7635,-84.4235,5,"1100 block of Joseph E. Boone Boulevard NW, Atlanta, Georgia",August,8
1524,2014-08-05,North Carolina,Fayetteville,6700 block of Winthrop Drive,3,1,35.1556,-78.9183,4,"6700 block of Winthrop Drive, Fayetteville, North Carolina",August,8
1523,2014-08-06,California,Bakersfield,1700 block of Quincy Street ,3,1,35.3815,-118.974,4,"1700 block of Quincy Street , Bakersfield, California",August,8
1522,2014-08-06,Illinois,Chicago,1115 N. North Branch Street,0,4,41.9029,-87.6548,4,"1115 N. North Branch Street, Chicago, Illinois",August,8
1521,2014-08-07,Wisconsin,Milwaukee,N. 24th Place and W. Locust St,0,5,43.0715,-87.9436,5,"N. 24th Place and W. Locust St, Milwaukee, Wisconsin",August,8
1520,2014-08-07,Kansas,Wichita,2600 block of North Grove,1,3,37.7306,-97.3076,4,"2600 block of North Grove, Wichita, Kansas",August,8
1519,2014-08-08,Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,43.0735,-87.9483,4,"3000 block of N. 28th Street , Milwaukee, Wisconsin",August,8
1518,2014-08-08,New Mexico,Albuquerque,3426 Vassar NE,1,3,35.1193,-106.615,4,"3426 Vassar NE, Albuquerque, New Mexico",August,8
1517,2014-08-08,District of Columbia,Washington,Second Street and Todd Place NE,0,4,38.9163,-77.0035,4,"Second Street and Todd Place NE, Washington, District of Columbia",August,8
1516,2014-08-09,Pennsylvania,Philadelphia,Wyoming and Whitaker Avenues,0,4,40.0203,-75.1141,4,"Wyoming and Whitaker Avenues, Philadelphia, Pennsylvania",August,8
1515,2014-08-09,Minnesota,Minneapolis,400 3rd Ave N,1,8,44.9827,-93.2757,9,"400 3rd Ave N, Minneapolis, Minnesota",August,8
1514,2014-08-10,District of Columbia,Washington,N Street SW,0,6,38.8745,-77.0174,6,"N Street SW, Washington, District of Columbia",August,8
1513,2014-08-10,Louisiana,New Orleans,5400 block of Burgundy St,2,5,29.9594,-90.0192,7,"5400 block of Burgundy St, New Orleans, Louisiana",August,8
1512,2014-08-10,California,Moreno Valley,16300 block of Heather Glen Road ,0,7,33.8836,-117.222,7,"16300 block of Heather Glen Road , Moreno Valley, California",August,8
1511,2014-08-12,New York,Buffalo,Oakmont Avenue,1,3,42.9324,-78.8079,4,"Oakmont Avenue, Buffalo, New York",August,8
1510,2014-08-12,Georgia,Bartow County,Brent Circle,2,3,34.1744,-84.8861,5,"Brent Circle, Bartow County, Georgia",August,8
1509,2014-08-13,Tennessee,Clarksville,Treeland Drive,0,4,36.5896,-87.3101,4,"Treeland Drive, Clarksville, Tennessee",August,8
1508,2014-08-13,Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4,29.9812,-90.0661,4,"New Orleans and North Rocheblave streets, New Orleans, Louisiana",August,8
1507,2014-08-14,Tennessee,Memphis,797 Pope Street,1,3,35.1554,-89.9561,4,"797 Pope Street, Memphis, Tennessee",August,8
1506,2014-08-14,Illinois,Sauk Village,1751 block of Sauk Trail,1,3,41.4878,-87.5734,4,"1751 block of Sauk Trail, Sauk Village, Illinois",August,8
1505,2014-08-15,Tennessee,Knoxville,5206 Inskip Road,2,2,36.0239,-83.9542,4,"5206 Inskip Road, Knoxville, Tennessee",August,8
1504,2014-08-16,Utah,Salt Lake City,122 Pierpont Avenue,0,6,40.764,-111.895,6,"122 Pierpont Avenue, Salt Lake City, Utah",August,8
1503,2014-08-16,New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,40.6042,-74.4382,4,"West 3rd Street and Monroe Avenue, Plainfield, New Jersey",August,8
1502,2014-08-17,Nevada,Las Vegas,Owens Avenue and H Street,0,4,36.1884,-115.152,4,"Owens Avenue and H Street, Las Vegas, Nevada",August,8
1501,2014-08-17,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,37.479,-122.138,4,"Purdue Street and Georgetown Avenue, East Palo Alto, California",August,8
1500,2014-08-17,North Carolina,Enfield,Verna Road,1,3,36.181,-77.6666,4,"Verna Road, Enfield, North Carolina",August,8
1499,2014-08-17,Illinois,Chicago,7900 block of South Merrill Avenue,0,4,41.7516,-87.5723,4,"7900 block of South Merrill Avenue, Chicago, Illinois",August,8
1498,2014-08-17,Massachusetts,Boston,Edinboro Street,0,4,42.3518,-71.0597,4,"Edinboro Street, Boston, Massachusetts",August,8
1497,2014-08-17,New York,Queens,153-38 118th Ave,0,4,40.6809,-73.7885,4,"153-38 118th Ave, Queens, New York",August,8
1496,2014-08-18,Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,30.1173,-91.8317,4,"Main and Hyacinth streets, Saint Martinville, Louisiana",August,8
1495,2014-08-18,Rhode Island,North Providence,9 Eliot Ave,1,3,41.8625,-71.4539,4,"9 Eliot Ave, North Providence, Rhode Island",August,8
1494,2014-08-20,Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,35.1062,-89.859,5,"1400 block of Briarcrest Lane, Memphis, Tennessee",August,8
1493,2014-08-22,South Carolina,Darlington,2429 Zackview Dr,1,3,34.3532,-79.7658,4,"2429 Zackview Dr, Darlington, South Carolina",August,8
1492,2014-08-24,Georgia,Augusta,1013 Carrie Street,1,3,33.4667,-81.9741,4,"1013 Carrie Street, Augusta, Georgia",August,8
1491,2014-08-24,California,San Fernando,1400 block of Celis Street ,3,4,34.286,-118.446,7,"1400 block of Celis Street , San Fernando, California",August,8
1490,2014-08-24,Illinois,Chicago,8300 block of South Halsted Street,1,3,41.7432,-87.6442,4,"8300 block of South Halsted Street, Chicago, Illinois",August,8
1489,2014-08-25,Illinois,Chicago,6700 block of South Stony Island Avenue,0,4,41.6599,-87.5787,4,"6700 block of South Stony Island Avenue, Chicago, Illinois",August,8
1488,2014-08-26,Oklahoma,Tulsa,2190 S. 109th East Avenue,4,0,36.1332,-95.8551,4,"2190 S. 109th East Avenue, Tulsa, Oklahoma",August,8
1487,2014-08-27,Michigan,Detroit,16600 block of Edmore,1,3,42.4473,-82.9485,4,"16600 block of Edmore, Detroit, Michigan",August,8
1486,2014-08-29,Florida,Brooksville,820 Peach St,3,1,28.5457,-82.3908,4,"820 Peach St, Brooksville, Florida",August,8
1485,2014-08-31,Alabama,Birmingham,Coosa Street,2,2,33.5438,-86.783,4,"Coosa Street, Birmingham, Alabama",August,8
1484,2014-08-31,California,Livermore,200 block of South Q Street ,0,5,37.6769,-121.779,5,"200 block of South Q Street , Livermore, California",August,8
1483,2014-08-31,Illinois,Elmhurst,600 block of Chatham,4,0,41.8815,-87.9329,4,"600 block of Chatham, Elmhurst, Illinois",August,8
1482,2014-09-01,North Carolina,Greensboro,Hewitt Street ,2,2,36.0574,-79.8625,4,"Hewitt Street , Greensboro, North Carolina",September,9
1481,2014-09-02,Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,32.365,-90.2419,5,"3622 Medgar Evers Boulevard, Jackson, Mississippi",September,9
1480,2014-09-02,California,Highland,25000 block of Fifth Street ,0,5,34.1085,-117.233,5,"25000 block of Fifth Street , Highland, California",September,9
1479,2014-09-02,Oklahoma,Tulsa,2100 block of South 109th East Avenue,4,0,36.1329,-95.8553,4,"2100 block of South 109th East Avenue, Tulsa, Oklahoma",September,9
1478,2014-09-03,New York,Rochester,955 Hudson Street,1,3,43.1826,-77.5994,4,"955 Hudson Street, Rochester, New York",September,9
1477,2014-09-03,California,Los Angeles,East 27th and Stanford ,0,6,34.0199,-118.26,6,"East 27th and Stanford , Los Angeles, California",September,9
1476,2014-09-04,Florida,Middleburg,2530 Blanding Blvd,0,4,30.0688,-81.8662,4,"2530 Blanding Blvd, Middleburg, Florida",September,9
1475,2014-09-04,Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5,43.0381,-83.7044,5,"2400 block of Martin Luther King Boulevard, Flint, Michigan",September,9
1474,2014-09-06,Florida,Orlando,2015 Orange Blossom Trail,0,4,28.5205,-81.3966,4,"2015 Orange Blossom Trail, Orlando, Florida",September,9
1473,2014-09-06,Georgia,Macon,576 Poplar Street,0,5,32.8349,-83.6299,5,"576 Poplar Street, Macon, Georgia",September,9
1472,2014-09-07,California,Los Angeles,83rd and Broadway ,0,4,33.9642,-118.278,4,"83rd and Broadway , Los Angeles, California",September,9
1471,2014-09-08,South Carolina,West Ashley,1840 Carriage Lane,2,2,32.7985,-79.9978,4,"1840 Carriage Lane, West Ashley, South Carolina",September,9
1470,2014-09-11,Michigan,Detroit,14000 block of Patton,1,7,42.3728,-83.2434,8,"14000 block of Patton, Detroit, Michigan",September,9
1469,2014-09-14,Alaska,Anchorage,225 E Fifth,0,6,61.2178,-149.88,6,"225 E Fifth, Anchorage, Alaska",September,9
1468,2014-09-14,Virginia,Norfolk,Reservoir Avenue and Goff Street ,1,3,36.8565,-76.2665,4,"Reservoir Avenue and Goff Street , Norfolk, Virginia",September,9
1467,2014-09-14,Texas,Flour Bluff,229 Naval Air Station Drive,3,1,27.6783,-97.2762,4,"229 Naval Air Station Drive, Flour Bluff, Texas",September,9
1466,2014-09-15,Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,30.0111,-90.0097,5,"Chef Menteur Highway and Dale Street, New Orleans, Louisiana",September,9
1465,2014-09-18,Florida,Bell,NW 30th Street and NW 39th Terrace,8,0,29.7555,-82.8626,8,"NW 30th Street and NW 39th Terrace, Bell, Florida",September,9
1464,2014-09-19,New York,Queens,32-14 106th St,0,4,40.7593,-73.8634,4,"32-14 106th St, Queens, New York",September,9
1463,2014-09-21,Ohio,East Liverpool,440 First St,0,4,40.6315,-80.5543,4,"440 First St, East Liverpool, Ohio",September,9
1462,2014-09-21,Pennsylvania,Philadelphia,Chew and Park Avenues,2,2,40.0397,-75.1434,4,"Chew and Park Avenues, Philadelphia, Pennsylvania",September,9
1461,2014-09-26,South Carolina,Darlington County,600 block of Turner Road,1,4,34.2594,-79.7687,5,"600 block of Turner Road, Darlington County, South Carolina",September,9
1460,2014-09-27,Missouri,Saint Louis,2000 block East John Avenue,0,5,38.6717,-90.2098,5,"2000 block East John Avenue, Saint Louis, Missouri",September,9
1459,2014-09-28,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,39.9927,-75.1312,4,"2800 block of Hope Street, Philadelphia, Pennsylvania",September,9
1458,2014-09-28,Indiana,Indianapolis,3600 English Avenue,0,4,39.7602,-86.104,4,"3600 English Avenue, Indianapolis, Indiana",September,9
1457,2014-09-28,Florida,Miami,NW 7th Ave and NW 64th Street,0,15,25.8341,-80.2086,15,"NW 7th Ave and NW 64th Street, Miami, Florida",September,9
1456,2014-09-29,South Carolina,Walterboro,29 Sandy Dam Lane,1,7,32.885,-80.6203,8,"29 Sandy Dam Lane, Walterboro, South Carolina",September,9
1455,2014-09-29,California,Fresno,2300 block of West Fountain Way ,0,4,36.7814,-119.838,4,"2300 block of West Fountain Way , Fresno, California",September,9
1454,2014-09-30,Michigan,Detroit,3000 block of Annabelle,0,5,42.2653,-83.1585,5,"3000 block of Annabelle, Detroit, Michigan",September,9
1453,2014-10-03,Mississippi,Aberdeen,20230 Coontail Road,2,2,33.8691,-88.5554,4,"20230 Coontail Road, Aberdeen, Mississippi",October,10
1452,2014-10-04,California,Pomona,1925 West Holt Avenue ,0,4,34.0621,-117.784,4,"1925 West Holt Avenue , Pomona, California",October,10
1451,2014-10-04,Illinois,Chicago,4400 block of West Van Buren,1,3,41.8751,-87.7353,4,"4400 block of West Van Buren, Chicago, Illinois",October,10
1450,2014-10-04,Tennessee,Memphis,1400 block of Gherald Street,2,2,35.1698,-89.9208,4,"1400 block of Gherald Street, Memphis, Tennessee",October,10
1449,2014-10-04,North Carolina,Kinston,400 block of Sherman Street,0,4,35.2608,-77.5492,4,"400 block of Sherman Street, Kinston, North Carolina",October,10
1448,2014-10-05,Florida,Jacksonville,7300 block of Linda Drive,3,1,30.3871,-81.6722,4,"7300 block of Linda Drive, Jacksonville, Florida",October,10
1447,2014-10-05,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,42.4338,-83.034,6,"East 7 Mile Road and Sherwood Street, Detroit, Michigan",October,10
1446,2014-10-08,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,33.7545,-84.3862,4,"Auburn Avenue and Edgewood Avenue, Atlanta, Georgia",October,10
1445,2014-10-08,Virginia,Richmond,100 block of East Roanoke Street,4,0,37.509,-77.4748,4,"100 block of East Roanoke Street, Richmond, Virginia",October,10
1444,2014-10-08,New York,Guilderland,1846 Western Ave,4,0,42.6914,-73.8712,4,"1846 Western Ave, Guilderland, New York",October,10
1443,2014-10-08,Oklahoma,Oklahoma City,3200 S Prospect Avenue,1,4,35.4349,-97.4858,5,"3200 S Prospect Avenue, Oklahoma City, Oklahoma",October,10
1442,2014-10-11,New York,Utica,222 Bleecker Street,0,5,43.1015,-75.2285,5,"222 Bleecker Street, Utica, New York",October,10
1441,2014-10-11,Illinois,Chicago,4400 block of West Madison,1,3,41.881,-87.7358,4,"4400 block of West Madison, Chicago, Illinois",October,10
1440,2014-10-12,California,Stockton,1100 block of East March Lane,3,1,38.0014,-121.293,4,"1100 block of East March Lane, Stockton, California",October,10
1439,2014-10-12,Georgia,Atlanta,Arthur Langford Jr Place,1,3,33.6981,-84.4488,4,"Arthur Langford Jr Place, Atlanta, Georgia",October,10
1438,2014-10-13,Georgia,Atlanta,85 Mount Zion Road,0,4,33.6729,-84.3919,4,"85 Mount Zion Road, Atlanta, Georgia",October,10
1437,2014-10-14,Georgia,Peachtree Corners,6505 Bannor Lane,3,2,33.9505,-84.2511,5,"6505 Bannor Lane, Peachtree Corners, Georgia",October,10
1436,2014-10-16,Michigan,Detroit,Mogul Street,1,3,42.4167,-82.9622,4,"Mogul Street, Detroit, Michigan",October,10
1435,2014-10-17,Florida,Port Orange,1900 block of Jackson Lane,3,1,29.0813,-81.0649,4,"1900 block of Jackson Lane, Port Orange, Florida",October,10
