,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
912,2016-03-04,Ohio,Columbus,900 E 5th Ave,1,3,39.9864,-82.9801,4,"900 E 5th Ave, Columbus, Ohio",March,3
911,2016-03-05,Kansas,Wichita,116 North Mead,0,4,37.6856,-97.3287,4,"116 North Mead, Wichita, Kansas",March,3
910,2016-03-06,California,Compton,900 block of West Victoria Street,1,8,33.8678,-118.239,9,"900 block of West Victoria Street, Compton, California",March,3
909,2016-03-06,Georgia,Roswell,890 Atlanta St,0,4,34.0228,-84.3619,4,"890 Atlanta St, Roswell, Georgia",March,3
908,2016-03-06,Massachusetts,Chelsea,120 Washington Avenue,1,6,42.397,-71.0318,7,"120 Washington Avenue, Chelsea, Massachusetts",March,3
907,2016-03-07,Kansas,Kansas City,3000 block of South 36th Street,5,0,39.0476,-94.6699,5,"3000 block of South 36th Street, Kansas City, Kansas",March,3
906,2016-03-07,Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive,0,4,30.2496,-92.0248,4,"800 block of Martin Luther King Jr. Drive, Lafayette, Louisiana",March,3
905,2016-03-08,Texas,San Antonio,Sherman St,2,3,29.434,-98.4642,5,"Sherman St, San Antonio, Texas",March,3
904,2016-03-09,Pennsylvania,Pittsburgh,1304 Franklin Ave,5,3,40.4385,-79.8722,8,"1304 Franklin Ave, Pittsburgh, Pennsylvania",March,3
903,2016-03-11,Michigan,Detroit,2600 block of Hazelwood,2,2,42.3715,-83.1075,4,"2600 block of Hazelwood, Detroit, Michigan",March,3
902,2016-03-11,New Jersey,Trenton,Oliver Avenue,0,5,40.2386,-74.777,5,"Oliver Avenue, Trenton, New Jersey",March,3
901,2016-03-12,Georgia,Elberton,Reese Street,2,2,34.1178,-82.867,4,"Reese Street, Elberton, Georgia",March,3
900,2016-03-12,California,Oakland,Interstate 880,0,4,37.7765,-122.236,4,"Interstate 880, Oakland, California",March,3
899,2016-03-12,Florida,Fort Mc Coy (Fort McCoy),1501 NE 231 Avenue,0,6,29.3119,-81.7738,6,"1501 NE 231 Avenue, Fort Mc Coy (Fort McCoy), Florida",March,3
898,2016-03-12,Oregon,Portland,16126 S.E. Stark St.,0,4,45.5191,-122.497,4,"16126 S.E. Stark St., Portland, Oregon",March,3
897,2016-03-13,Florida,Fort Myers,50 South Road,0,4,26.5769,-81.8674,4,"50 South Road, Fort Myers, Florida",March,3
896,2016-03-14,Illinois,Chicago,3700 block of West Polk Street,1,3,41.871,-87.7181,4,"3700 block of West Polk Street, Chicago, Illinois",March,3
895,2016-03-15,Georgia,Atlanta,Donald Lee Hollowell Drive,0,5,33.7766,-84.4565,5,"Donald Lee Hollowell Drive, Atlanta, Georgia",March,3
894,2016-03-17,Florida,Fort Myers,3440 Fowler Street,0,4,26.6144,-81.862,4,"3440 Fowler Street, Fort Myers, Florida",March,3
893,2016-03-19,Alabama,Wetumpka,South Shelby Street,2,2,32.5382,-86.214,4,"South Shelby Street, Wetumpka, Alabama",March,3
892,2016-03-19,Florida,Plantation,12050 NW 4th Court,1,4,26.125,-80.3096,5,"12050 NW 4th Court, Plantation, Florida",March,3
891,2016-03-20,Kentucky,Louisville,13120 Saratoga Springs Place,4,0,38.1746,-85.5286,4,"13120 Saratoga Springs Place, Louisville, Kentucky",March,3
890,2016-03-21,Illinois,Chicago,5700 block of West Washington Boulevard,0,4,41.8824,-87.7687,4,"5700 block of West Washington Boulevard, Chicago, Illinois",March,3
889,2016-03-21,Texas,Sherman,2600 block of Rivercrest Drive,4,0,33.6619,-96.6358,4,"2600 block of Rivercrest Drive, Sherman, Texas",March,3
888,2016-03-22,California,Selma,Park Street and Sheridan Street,0,4,36.5598,-119.613,4,"Park Street and Sheridan Street, Selma, California",March,3
887,2016-03-25,Illinois,Chicago,4500 block of West West End Avenue,0,4,41.8832,-87.738,4,"4500 block of West West End Avenue, Chicago, Illinois",March,3
886,2016-03-25,Colorado,Denver,8501 E. Alameda Avenue,0,4,39.7123,-104.89,4,"8501 E. Alameda Avenue, Denver, Colorado",March,3
885,2016-03-25,Alabama,Killen,2000 block of Lauderdale 130,2,2,34.9958,-87.5715,4,"2000 block of Lauderdale 130, Killen, Alabama",March,3
884,2016-03-27,Louisiana,Shreveport,Hearne Avenue at Hollywood Avenue,0,4,32.4565,-93.78,4,"Hearne Avenue at Hollywood Avenue, Shreveport, Louisiana",March,3
883,2016-03-31,Nevada,Las Vegas,9800 block of North Fast Elk Street,4,0,36.327,-115.296,4,"9800 block of North Fast Elk Street, Las Vegas, Nevada",March,3
882,2016-03-31,Illinois,Chicago (Englewood),6800 block of South Throop,0,4,41.7704,-87.657,4,"6800 block of South Throop, Chicago (Englewood), Illinois",March,3
881,2016-04-01,New Mexico,Albuquerque,4565 San Mateo Blvd NE,3,1,35.1342,-106.588,4,"4565 San Mateo Blvd NE, Albuquerque, New Mexico",April,4
880,2016-04-06,Florida,Cocoa,900 Friday Road,1,3,28.3699,-80.8034,4,"900 Friday Road, Cocoa, Florida",April,4
879,2016-04-07,Illinois,Chicago,2200 block of East 70th Place,0,4,41.7674,-87.5709,4,"2200 block of East 70th Place, Chicago, Illinois",April,4
878,2016-04-09,Tennessee,Memphis,Mt Moriah Road and Ridgeway Road,0,4,35.0724,-89.8635,4,"Mt Moriah Road and Ridgeway Road, Memphis, Tennessee",April,4
877,2016-04-09,Alabama,Anniston,West 15th Street and Crawford Avenue,0,4,33.6636,-85.8501,4,"West 15th Street and Crawford Avenue, Anniston, Alabama",April,4
876,2016-04-09,New Mexico,Albuquerque,2600 block of Mesa Drive SE,0,4,35.0558,-106.627,4,"2600 block of Mesa Drive SE, Albuquerque, New Mexico",April,4
875,2016-04-10,California,Los Angeles,84th Street and Towne Avenue,0,4,33.9628,-118.267,4,"84th Street and Towne Avenue, Los Angeles, California",April,4
874,2016-04-10,Wisconsin,Milwaukee,76th and Sheridan,1,3,43.1183,-88.0061,4,"76th and Sheridan, Milwaukee, Wisconsin",April,4
873,2016-04-16,Michigan,Detroit,9500 block of Oakland,1,4,42.3882,-83.0742,5,"9500 block of Oakland, Detroit, Michigan",April,4
872,2016-04-16,Alabama,Enterprise,Baxter Street,0,4,31.3036,-85.8152,4,"Baxter Street, Enterprise, Alabama",April,4
871,2016-04-16,Florida,Orlando,1100 block of Conley Street,2,4,28.5329,-81.3937,6,"1100 block of Conley Street, Orlando, Florida",April,4
870,2016-04-17,South Carolina,Pelzer,200 block of Eastview Road,1,3,34.6459,-82.4371,4,"200 block of Eastview Road, Pelzer, South Carolina",April,4
869,2016-04-17,Texas,Edinburg,5021 W St Hwy 107,1,6,26.3058,-98.1924,7,"5021 W St Hwy 107, Edinburg, Texas",April,4
868,2016-04-17,Pennsylvania,Philadelphia,600 block of Westmoreland Street,3,1,40.0016,-75.1402,4,"600 block of Westmoreland Street, Philadelphia, Pennsylvania",April,4
867,2016-04-18,California,Long Beach,1200 block of E. 17th Street,1,3,33.7879,-118.176,4,"1200 block of E. 17th Street, Long Beach, California",April,4
866,2016-04-18,Michigan,Detroit,Grand River Avenue and West Grand Boulevard,1,4,42.3569,-83.1095,5,"Grand River Avenue and West Grand Boulevard, Detroit, Michigan",April,4
865,2016-04-19,Alabama,Blountsville,81551 Us Highway 278,1,4,34.1597,-86.4686,5,"81551 Us Highway 278, Blountsville, Alabama",April,4
864,2016-04-19,Texas,Katy,1318 Longdraw Drive,4,0,29.7542,-95.8313,4,"1318 Longdraw Drive, Katy, Texas",April,4
863,2016-04-19,Illinois,Chicago,1400 block of West 84th Street,1,4,41.7414,-87.6584,5,"1400 block of West 84th Street, Chicago, Illinois",April,4
862,2016-04-19,Illinois,Chicago,2700 block of West 53rd Street,1,3,41.7974,-87.6915,4,"2700 block of West 53rd Street, Chicago, Illinois",April,4
861,2016-04-21,Maryland,Baltimore,4800 block of Frankford Avenue,0,4,39.3325,-76.545,4,"4800 block of Frankford Avenue, Baltimore, Maryland",April,4
860,2016-04-22,Georgia,Appling,3162 Johnson Drive,6,0,33.5989,-82.2244,6,"3162 Johnson Drive, Appling, Georgia",April,4
859,2016-04-22,Ohio,Piketon,4077 Union Hill Road,8,0,39.0201,-83.275,8,"4077 Union Hill Road, Piketon, Ohio",April,4
858,2016-04-23,Washington,Seattle,Occidental Avenue South and South Washington Street,0,4,47.6009,-122.333,4,"Occidental Avenue South and South Washington Street, Seattle, Washington",April,4
857,2016-04-23,Nevada,Las Vegas,1650 South Hollywood Boulevard,1,3,36.1548,-115.019,4,"1650 South Hollywood Boulevard, Las Vegas, Nevada",April,4
856,2016-04-23,Alabama,Auburn,1200 block of Lee Road 83,3,1,32.5873,-85.6088,4,"1200 block of Lee Road 83, Auburn, Alabama",April,4
855,2016-04-23,New York,New York (Manhattan),West 141st Street and Edgecombe Avenue,0,4,40.8209,-73.9452,4,"West 141st Street and Edgecombe Avenue, New York (Manhattan), New York",April,4
854,2016-04-23,Kansas,Topeka,3732 S.W. Topeka Boulevard,1,4,38.9988,-95.687,5,"3732 S.W. Topeka Boulevard, Topeka, Kansas",April,4
853,2016-04-24,Illinois,Chicago (Englewood),2000 block of West 68th Place,2,3,41.7696,-87.6739,5,"2000 block of West 68th Place, Chicago (Englewood), Illinois",April,4
852,2016-04-24,Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,5,36.7755,-78.9208,5,"1055 L P Bailey Memorial Hwy, Halifax, Virginia",April,4
851,2016-04-24,Colorado,Denver,1400 block of 14th Street,0,4,39.748,-105.001,4,"1400 block of 14th Street, Denver, Colorado",April,4
